,Unnamed: 0,Villageid,Primary_key,LPCD_Weighted,LPCD_Min,LPCD_Max,State name,District name,Block name,Gram panchayat,Village name,Sample source,Sample Id,Lab name,Lab name agg,Scheme Type,Sample collection,Sample tested,Free residual Chlorine (mg/l),Total Alkalinity (as Calcium Carbonate) (mg/l),Turbidity (NTU),TDS (mg/l),Fluoride (as F) (mg/l),Colour (Hazen units),Total Hardness (As CaCO3) (mg/l),Sulphate (as SO4) (mg/l),Total coliform (CFU/ 100 ml),Iron (As Fe) (mg/l),E. coli (CFU/100 ml),Odour (NA),Chloride (as Cl) (mg/l),Nitrate (as NO3) (mg/l),pH (NA),Arsenic (mg/l),S.No.,State,StateId,District,DistrictId,Block,BlockId,Panchayat,PanchayatId,Village,Census Village Name,Census Village Code,LGD Villageid,LGD Village Name,Tot Pop,SC Pop,ST Pop,GEN Pop,No. of House Holds,House Connection Provided as on 01/04/2024,Houseconnection Provided in 2024-2025 including private connection,Status
10,10,157915.0,HEGGADADEVANKOTE_ANNUR_NANJANAIKANAHALLI,37.1,33.15,53.02,Karnataka,Mysuru,Heggadadevankote,Annur,Nanjanaikanahalli,"Source Type : Deep Tubewell, location : Near Road",U699784S13232595,RDW&SD Water Quality Testing Lab HD Kote,['RDW&SD Water Quality Testing Lab HD Kote'],SVS,27/06/2023,28/06/2023,,434.5094117647059,0.8588235294117647,1100.8235294117646,0.9882352941176472,1.0588235294117647,613.9499999999999,62.18882352941176,0.0,0.3905882352941176,,0.0,108.70764705882353,42.67,7.4411764705882355,,11,Karnataka,15,Mysuru,202,Heggadadevankote,2578,Annur,63023,Nanjanaikanahalli,Nanjanayakanahalli,618854.0,618854,Nanjanayakanahalli,1425,344,204,877,326,164,0,
11,11,158043.0,HEGGADADEVANKOTE_ANTHARASANTHE_ANTHARASANTHE,37.21,37.21,37.21,Karnataka,Mysuru,Heggadadevankote,Antharasanthe,Antharasanthe,Public tap water location : -----,U699784S19176668,RDW&SD Water Quality Testing Lab HD Kote,['RDW&SD Water Quality Testing Lab HD Kote'],SVS,20/03/2024,21/03/2024,,381.8625,0.6,840.5,0.9225,1.0,465.9675,35.475,0.0,0.365,,0.0,68.21125,34.0675,7.55,,12,Karnataka,15,Mysuru,202,Heggadadevankote,2578,Antharasanthe,63037,Antharasanthe,Antharasanthe,619017.0,619017,Antharasanthe,5428,2743,40,2645,1734,1079,0,
12,12,158044.0,HEGGADADEVANKOTE_ANTHARASANTHE_HONNURUKUPPE,27.83,27.83,27.83,Karnataka,Mysuru,Heggadadevankote,Antharasanthe,Honnurukuppe,Public tap water location : -----,U699784S16397222,RDW&SD Water Quality Testing Lab HD Kote,['RDW&SD Water Quality Testing Lab HD Kote'],SVS,09/11/2023,10/11/2023,,484.8,1.2,1028.0,1.04,1.0,560.5,45.49,,0.42,,0.0,91.15333333333332,37.67333333333333,7.399999999999999,,13,Karnataka,15,Mysuru,202,Heggadadevankote,2578,Antharasanthe,63037,Honnurukuppe,Honnurkuppe,619033.0,619033,Honnurkuppe,81,0,0,81,22,12,0,
13,13,158042.0,HEGGADADEVANKOTE_ANTHARASANTHE_HUNASEKUPPE,39.86,37.64,45.66,Karnataka,Mysuru,Heggadadevankote,Antharasanthe,Hunasekuppe,Public tap water location : -----,U699784S19176636,RDW&SD Water Quality Testing Lab HD Kote,['RDW&SD Water Quality Testing Lab HD Kote'],SVS,20/03/2024,21/03/2024,,379.91,0.4125,829.0,0.8987499999999999,1.0,432.37875,42.61125,0.0,0.34875,,0.0,84.13499999999999,24.39,7.55,,14,Karnataka,15,Mysuru,202,Heggadadevankote,2578,Antharasanthe,63037,Hunasekuppe,Hunasekuppe,618870.0,618870,Hunasekuppe,1277,447,516,314,340,314,0,
14,14,158047.0,HEGGADADEVANKOTE_ANTHARASANTHE_SOGAHALLI,35.3,35.3,35.3,Karnataka,Mysuru,Heggadadevankote,Antharasanthe,Sogahalli,Public tap water location : -----,U699784S19176650,RDW&SD Water Quality Testing Lab HD Kote,['RDW&SD Water Quality Testing Lab HD Kote'],SVS and MVS,20/03/2024,21/03/2024,,375.244,0.58,883.6,0.984,1.0,489.32,45.434000000000005,0.0,0.434,,0.0,88.164,38.91,7.6,,15,Karnataka,15,Mysuru,202,Heggadadevankote,2578,Antharasanthe,63037,Sogahalli,Sogahalli,619042.0,619042,Sogahalli,1162,618,512,32,615,615,0,
15,15,157836.0,HEGGADADEVANKOTE_BACHEGOWDANAHALLI_BACHEGOWDANAHALLI,22.67,22.67,22.67,Karnataka,Mysuru,Heggadadevankote,Bachegowdanahalli,Bachegowdanahalli,Anganwadi name : BACHEGOWDANAHALLI ANGANAWADI-2,U699784S18616235,RDW&SD Water Quality Testing Lab HD Kote,['RDW&SD Water Quality Testing Lab HD Kote'],SVS,26/02/2024,27/02/2024,,430.81111111111113,0.8666666666666667,1017.5555555555557,0.9466666666666668,1.0,521.2966666666666,66.56666666666666,0.0,0.3511111111111111,,0.0,122.32222222222224,37.22777777777778,7.444444444444445,,16,Karnataka,15,Mysuru,202,Heggadadevankote,2578,Bachegowdanahalli,299727,Bachegowdanahalli,Bachegowdanahalli,618943.0,618943,Bachegowdanahalli,1856,123,1350,383,410,63,0,
16,16,157825.0,HEGGADADEVANKOTE_BACHEGOWDANAHALLI_BANNAVADI,22.38,22.38,22.38,Karnataka,Mysuru,Heggadadevankote,Bachegowdanahalli,Bannavadi,Public tap water location : -----,U699784S18616510,RDW&SD Water Quality Testing Lab HD Kote,['RDW&SD Water Quality Testing Lab HD Kote'],SVS,26/02/2024,27/02/2024,,373.712,0.3399999999999999,790.8,0.732,1.0,423.854,50.134,0.0,0.31,,0.0,73.52799999999999,6.174,7.5,,17,Karnataka,15,Mysuru,202,Heggadadevankote,2578,Bachegowdanahalli,299727,Bannavadi,Bannavadi,618933.0,618933,Bannavadi,325,325,0,0,101,97,0,
17,17,157845.0,HEGGADADEVANKOTE_BACHEGOWDANAHALLI_DODDAKEREKAVAL,34.95,34.95,34.95,Karnataka,Mysuru,Heggadadevankote,Bachegowdanahalli,Doddakerekaval,Public tap water location : -----,U699784S18616392,RDW&SD Water Quality Testing Lab HD Kote,['RDW&SD Water Quality Testing Lab HD Kote'],SVS,26/02/2024,27/02/2024,,484.26666666666665,0.7000000000000001,1108.0,0.6333333333333333,1.0,568.5133333333333,70.36333333333333,0.0,0.3666666666666667,,0.0,127.46666666666664,43.42666666666667,7.366666666666667,,18,Karnataka,15,Mysuru,202,Heggadadevankote,2578,Bachegowdanahalli,299727,Doddakerekaval,Doddakerekaval,618942.0,618942,Doddakerekaval,390,0,0,390,65,65,0,
18,18,157835.0,HEGGADADEVANKOTE_BACHEGOWDANAHALLI_GARIKEKATTEKAVAL,39.02,39.02,39.02,Karnataka,Mysuru,Heggadadevankote,Bachegowdanahalli,Garikekattekaval,Public tap water location : -----,U699784S18616435,RDW&SD Water Quality Testing Lab HD Kote,['RDW&SD Water Quality Testing Lab HD Kote'],,26/02/2024,27/02/2024,,460.73333333333335,0.8666666666666667,1066.6666666666667,0.7333333333333334,1.0,540.4833333333333,77.87666666666667,0.0,0.3733333333333333,,0.0,109.43666666666668,43.473333333333336,7.2,,19,Karnataka,15,Mysuru,202,Heggadadevankote,2578,Bachegowdanahalli,299727,Garikekattekaval,Garikekattekaval,618944.0,618944,Garikekattekaval,123,0,25,98,21,15,0,
19,19,157844.0,HEGGADADEVANKOTE_BACHEGOWDANAHALLI_JOMPANAHALLI,35.44,35.44,35.44,Karnataka,Mysuru,Heggadadevankote,Bachegowdanahalli,Jompanahalli,Public tap water location : -----,U699784S18616581,RDW&SD Water Quality Testing Lab HD Kote,['RDW&SD Water Quality Testing Lab HD Kote'],SVS,26/02/2024,27/02/2024,,447.388,0.58,1036.0,1.074,1.0,551.906,64.884,0.0,0.374,,0.0,106.574,41.276,7.640000000000001,,20,Karnataka,15,Mysuru,202,Heggadadevankote,2578,Bachegowdanahalli,299727,Jompanahalli,Jompanahalli,618934.0,618934,Jompanahalli,1203,665,20,518,213,91,0,
20,20,157846.0,HEGGADADEVANKOTE_BACHEGOWDANAHALLI_K. KANNENAHALLI,53.41,46.54,56.96,Karnataka,Mysuru,Heggadadevankote,Bachegowdanahalli,K. Kannenahalli,Public tap water location : -----,U699784S18616472,RDW&SD Water Quality Testing Lab HD Kote,['RDW&SD Water Quality Testing Lab HD Kote'],SVS and MVS,26/02/2024,27/02/2024,,391.525,0.55,924.0,0.975,1.0,491.4425,59.6925,0.0,0.2875,,0.0,90.7025,35.105000000000004,7.7,,21,Karnataka,15,Mysuru,202,Heggadadevankote,2578,Bachegowdanahalli,299727,K. Kannenahalli,K.Kannenahalli,618947.0,618947,K.Kannenahalli,763,210,235,318,224,120,0,
21,21,158041.0,HEGGADADEVANKOTE_BEECHANAHALLI_BEECHANAHALLI,37.1,35.67,42.38,Karnataka,Mysuru,Heggadadevankote,Beechanahalli,Beechanahalli,School name : HPS RAMENAHALLI,U699784S12907921,RDW&SD Water Quality Testing Lab HD Kote,['RDW&SD Water Quality Testing Lab HD Kote'],SVS and MVS,17/06/2023,19/06/2023,,296.10769230769233,0.6692307692307692,658.6923076923077,0.7838461538461539,1.0,355.2638461538462,29.207692307692305,0.0,0.2361538461538462,,0.0,59.79230769230769,31.158461538461538,7.376923076923077,,22,Karnataka,15,Mysuru,202,Heggadadevankote,2578,Beechanahalli,63036,Beechanahalli,Beechanahalli,619025.0,619025,Beechanahalli,2793,715,1395,683,790,547,0,
22,22,158038.0,HEGGADADEVANKOTE_BEECHANAHALLI_MAGUDILU,33.38,32.94,34.37,Karnataka,Mysuru,Heggadadevankote,Beechanahalli,Magudilu,Public tap water location : -----,U699784S12846683,RDW&SD Water Quality Testing Lab HD Kote,['RDW&SD Water Quality Testing Lab HD Kote'],,15/06/2023,16/06/2023,,272.1325,0.425,575.0,0.61375,1.0,304.775,25.90375,0.0,0.24625,,0.0,49.7425,23.99625,7.3375,,23,Karnataka,15,Mysuru,202,Heggadadevankote,2578,Beechanahalli,63036,Magudilu,Magudilu,619022.0,619022,Magudilu,2170,775,520,875,524,408,0,
23,23,158039.0,HEGGADADEVANKOTE_BEECHANAHALLI_NERALE,41.47,37.13,41.9,Karnataka,Mysuru,Heggadadevankote,Beechanahalli,Nerale,"Source Type : Deep Tubewell, location : inside village",U699784S12811998,RDW&SD Water Quality Testing Lab HD Kote,['RDW&SD Water Quality Testing Lab HD Kote'],SVS and MVS,14/06/2023,15/06/2023,,310.6518181818182,0.6090909090909091,723.1818181818181,0.7713636363636364,1.0,415.1195454545454,30.79272727272728,0.0,0.2759090909090909,,0.0,63.61818181818182,21.72136363636364,7.537727272727273,,24,Karnataka,15,Mysuru,202,Heggadadevankote,2578,Beechanahalli,63036,Nerale,Nerale,619023.0,619023,Nerale,4752,1200,1579,1973,814,678,0,
24,24,158040.0,HEGGADADEVANKOTE_BEECHANAHALLI_PURA,7.64,7.64,7.64,Karnataka,Mysuru,Heggadadevankote,Beechanahalli,Pura,Public tap water location : -----,U699784S12797732,RDW&SD Water Quality Testing Lab HD Kote,['RDW&SD Water Quality Testing Lab HD Kote'],,14/06/2023,15/06/2023,,191.04,0.4666666666666666,373.3333333333333,0.4966666666666667,1.0,210.85666666666663,10.193333333333332,0.0,0.1933333333333333,,0.0,26.926666666666662,1.3633333333333333,7.399999999999999,,25,Karnataka,15,Mysuru,202,Heggadadevankote,2578,Beechanahalli,63036,Pura,Pura,619024.0,618959,Pura,1324,220,350,754,257,151,0,
25,25,157920.0,HEGGADADEVANKOTE_BHIMANAHALLI_BHIMANAHALLI,42.48,42.21,44.08,Karnataka,Mysuru,Heggadadevankote,Bhimanahalli,Bhimanahalli,Public tap water location : -----,U699784S18512126,RDW&SD Water Quality Testing Lab HD Kote,['RDW&SD Water Quality Testing Lab HD Kote'],SVS,19/02/2024,20/02/2024,,417.75909090909096,0.6181818181818182,976.181818181818,0.785,1.0,522.47,65.15727272727273,0.0,0.3586363636363636,,0.0,94.12545454545452,39.75090909090909,7.422727272727273,,26,Karnataka,15,Mysuru,202,Heggadadevankote,2578,Bhimanahalli,63024,Bhimanahalli,Bheemanahalli,618841.0,618841,Bheemanahalli,1215,363,420,432,334,283,0,
26,26,157923.0,HEGGADADEVANKOTE_BHIMANAHALLI_MUSKERE,42.92,42.1,44.53,Karnataka,Mysuru,Heggadadevankote,Bhimanahalli,Muskere,Public tap water location : -----,U699784S18512192,RDW&SD Water Quality Testing Lab HD Kote,['RDW&SD Water Quality Testing Lab HD Kote'],SVS and MVS,19/02/2024,20/02/2024,,360.1222222222222,0.6222222222222222,850.4444444444445,0.8300000000000001,1.0,483.5455555555556,44.66888888888889,0.0,0.3555555555555555,,0.0,55.922222222222224,36.56444444444444,7.577777777777778,,27,Karnataka,15,Mysuru,202,Heggadadevankote,2578,Bhimanahalli,63024,Muskere,Musker,618843.0,618843,Musker,1118,54,350,714,238,203,0,
27,27,157918.0,HEGGADADEVANKOTE_BHIMANAHALLI_RAJEGOWDANAHUNDI,45.72,45.61,46.35,Karnataka,Mysuru,Heggadadevankote,Bhimanahalli,Rajegowdanahundi,Public tap water location : -----,U699784S18512219,RDW&SD Water Quality Testing Lab HD Kote,['RDW&SD Water Quality Testing Lab HD Kote'],SVS,19/02/2024,20/02/2024,,379.6775,0.675,981.75,0.95125,1.0,550.995,72.94624999999999,0.0,0.3775,,0.0,95.27125,35.8475,7.525,,28,Karnataka,15,Mysuru,202,Heggadadevankote,2578,Bhimanahalli,63024,Rajegowdanahundi,Rajegowdanahundi,618840.0,618840,RAJEGOWDANAHUNDI,1680,325,180,1175,346,241,0,
28,28,157922.0,HEGGADADEVANKOTE_BHIMANAHALLI_YELEHUNDI,43.43,43.43,43.43,Karnataka,Mysuru,Heggadadevankote,Bhimanahalli,Yelehundi,Public tap water location : -----,U699784S18512265,RDW&SD Water Quality Testing Lab HD Kote,['RDW&SD Water Quality Testing Lab HD Kote'],SVS,19/02/2024,20/02/2024,,300.24,0.525,839.5,0.8325,1.0,494.445,53.19,0.0,0.42,,0.0,52.3675,43.175,7.475,,29,Karnataka,15,Mysuru,202,Heggadadevankote,2578,Bhimanahalli,63024,Yelehundi,Yelehundikaval,618842.0,618845,Yelehund,575,106,106,363,103,40,0,
29,29,157921.0,HEGGADADEVANKOTE_BHIMANAHALLI_YELEHUNDIKAVAL,35.59,35.59,35.59,Karnataka,Mysuru,Heggadadevankote,Bhimanahalli,Yelehundikaval,Public tap water location : -----,U699784S18512253,RDW&SD Water Quality Testing Lab HD Kote,['RDW&SD Water Quality Testing Lab HD Kote'],SVS,19/02/2024,20/02/2024,,452.1333333333334,0.8333333333333334,1077.3333333333333,0.6566666666666666,1.0,536.4833333333332,92.32,0.0,0.3466666666666667,,0.0,141.71333333333334,32.013333333333335,7.433333333333334,,30,Karnataka,15,Mysuru,202,Heggadadevankote,2578,Bhimanahalli,63024,Yelehundikaval,Yelehundikaval,618842.0,618842,Yelehundikaval,320,20,35,265,63,22,0,
30,30,157911.0,HEGGADADEVANKOTE_CHAKKODANAHALLI_AGASARAHUNDI,49.98,39.3,60.67,Karnataka,Mysuru,Heggadadevankote,Chakkodanahalli,Agasarahundi,Public tap water location : -----,U699784S13592992,RDW&SD Water Quality Testing Lab HD Kote,['RDW&SD Water Quality Testing Lab HD Kote'],SVS,13/07/2023,14/07/2023,,332.8,0.7,769.2,0.8560000000000001,1.0,439.434,36.344,,0.302,,0.0,70.878,14.178,7.44,,31,Karnataka,15,Mysuru,202,Heggadadevankote,2578,Chakkodanahalli,63022,Agasarahundi,Agasanahundi,618851.0,618851,Agasanahundi,632,90,75,467,158,73,0,
31,31,157910.0,HEGGADADEVANKOTE_CHAKKODANAHALLI_BOMMALAPURA,40.95,0.0,59.38,Karnataka,Mysuru,Heggadadevankote,Chakkodanahalli,Bommalapura,Public tap water location : -----,U699784S13315879,RDW&SD Water Quality Testing Lab HD Kote,['RDW&SD Water Quality Testing Lab HD Kote'],SVS,30/06/2023,01/07/2023,,441.52,1.04,1028.4,0.876,1.0,583.74,50.922,,0.358,,0.0,101.574,30.306,7.62,,32,Karnataka,15,Mysuru,202,Heggadadevankote,2578,Chakkodanahalli,63022,Bommalapura,Bommalapura,618852.0,618852,Bommalapura,232,0,122,110,61,0,0,
32,32,157909.0,HEGGADADEVANKOTE_CHAKKODANAHALLI_BUDANUR,44.31,34.25,68.08,Karnataka,Mysuru,Heggadadevankote,Chakkodanahalli,Budanur,"Source Type : Deep Tubewell, location : inside village",U699784S13315757,RDW&SD Water Quality Testing Lab HD Kote,['RDW&SD Water Quality Testing Lab HD Kote'],SVS,30/06/2023,01/07/2023,,422.56111111111113,0.8,1013.1666666666666,0.8455555555555556,1.0,546.348888888889,48.24111111111111,,0.3244444444444444,,0.0,115.70166666666668,34.21333333333334,7.405555555555556,,33,Karnataka,15,Mysuru,202,Heggadadevankote,2578,Chakkodanahalli,63022,Budanur,Budanur,618864.0,618864,Budanur,1198,663,160,375,278,102,0,
33,33,157908.0,HEGGADADEVANKOTE_CHAKKODANAHALLI_CHAKKODANAHALLI,46.09,46.09,46.09,Karnataka,Mysuru,Heggadadevankote,Chakkodanahalli,Chakkodanahalli,"Source Type : Deep Tubewell, location : In Habitation",U699784S13335123,RDW&SD Water Quality Testing Lab HD Kote,['RDW&SD Water Quality Testing Lab HD Kote'],SVS,01/07/2023,03/07/2023,,349.16,0.64,807.6,0.8160000000000001,1.0,413.796,43.238,,0.284,,0.0,95.154,33.548,7.479999999999999,,34,Karnataka,15,Mysuru,202,Heggadadevankote,2578,Chakkodanahalli,63022,Chakkodanahalli,Chakkodanahalli,618863.0,618863,Chakkodanahalli,1834,890,0,944,344,119,0,
34,34,157913.0,HEGGADADEVANKOTE_CHAKKODANAHALLI_GOWDIMACHANAIKANAHALLI,50.17,42.1,62.93,Karnataka,Mysuru,Heggadadevankote,Chakkodanahalli,Gowdimachanaikanahalli,Public tap water location : -----,U699784S13567974,RDW&SD Water Quality Testing Lab HD Kote,['RDW&SD Water Quality Testing Lab HD Kote'],SVS and MVS,10/07/2023,11/07/2023,,383.6,0.72,902.8,0.8110000000000002,1.0,501.427,44.206,,0.329,,0.0,91.818,26.996,7.55,,35,Karnataka,15,Mysuru,202,Heggadadevankote,2578,Chakkodanahalli,63022,Gowdimachanaikanahalli,Gowdimachanayakana Halli,618848.0,618848,Gowdimachanayakana Halli,934,460,387,87,190,153,0,
35,35,157907.0,HEGGADADEVANKOTE_CHAKKODANAHALLI_KONEGOWDANAHUNDI,53.88,42.84,79.06,Karnataka,Mysuru,Heggadadevankote,Chakkodanahalli,Konegowdanahundi,"Source Type : Deep Tubewell, location : in habitaiton",U699784S13291913,RDW&SD Water Quality Testing Lab HD Kote,['RDW&SD Water Quality Testing Lab HD Kote'],SVS,28/06/2023,30/06/2023,,338.956,0.52,794.0,0.8550000000000001,1.0,441.996,37.789,,0.323,,0.0,78.576,24.563,7.49,,36,Karnataka,15,Mysuru,202,Heggadadevankote,2578,Chakkodanahalli,63022,Konegowdanahundi,Konegowdanahundi,618862.0,618862,Konegowdanahundi,574,138,313,123,113,113,0,
